date,humidity,temperature,pressure,pm2.5_alt,scattering_coefficient,visual_range,0.3_um_count,5.0_um_count,pm1.0_atm,pm2.5_atm,pm2.5_cf_1,pm10.0_atm,sensor_id,last_modified,sensor_date_created,sensor_last_seen,private,name,location_type,model,hardware,uptime,pa_latency,memory,position_rating,sensor_latitude,sensor_longitude,altitude,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,unique_incident_count,average_size,list_of_sizes,average_distance,list_of_distances,list_of_rel_direction,target,average_size_stand,average_distance_stand,Fire_Indicator,log_0.3_um_count
2021-05-09,21.477,80.914,984.466,0.7,2.6,298.0,171.529,0.2249999999999999,0.1725,0.41,0.4375,0.5660000000000001,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,23.2,17.8,29.4,0.0,0.0,356.0,22.7,,1014.1,,0.0,0.0,,0.0,,,0,1,1,0.0,5.150565338283542
2021-05-21,19.422,72.739,983.535,0.5,2.0,313.4,135.6965,0.1055,0.0375,0.137,0.137,0.205,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,16.2,7.8,23.9,0.0,0.0,5.0,15.5,,1014.6,,0.0,0.0,,0.0,,,0,1,1,0.0,4.9177631398907895
2021-05-14,20.754,89.161,979.188,2.6,10.9,169.0,726.6025,0.529,3.039,3.9745,3.981,4.358499999999999,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,24.6,13.9,32.2,0.0,0.0,10.0,8.6,,1009.1,,0.0,0.0,,0.0,,,0,1,1,0.0,6.589754882591885
2021-02-01,56.0,57.292,984.625,13.2,40.8,66.1,2721.523,3.5365,16.833,26.245,28.7855,30.2475,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,9.1,6.1,14.4,1.5,0.0,337.0,12.2,,1013.9,,0.0,0.0,,0.0,,,0,1,1,0.0,7.909314302888969
2021-01-31,57.046,54.921,989.789,13.5,40.0,67.3,2663.5595,4.555999999999999,17.1075,28.2545,30.9075,33.366,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,8.6,6.7,12.2,1.0,0.0,351.0,5.8,,1020.8,,0.0,0.0,,0.0,,,0,1,1,0.0,7.8877940321311595
2021-11-24,28.529,61.122,991.763,23.4,58.1,48.9,3874.296,10.2035,19.502,35.698,49.2465,42.7105,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,12.9,6.7,19.4,0.0,0.0,349.0,15.1,,1024.8,,0.0,0.0,,0.0,,,0,1,1,0.0,8.262377325966876
2021-07-21,13.711,99.889,979.199,3.0,9.5,182.2,633.4765,0.5015000000000001,2.4450000000000003,4.015000000000001,4.015000000000001,4.374499999999999,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,29.7,19.4,37.8,0.0,0.0,163.0,8.6,,1009.8,,3.0,4.666666666666667,"[4, 5, 5]",140.56339981492218,"[95.40215435289892, 201.8960285388892, 124.39201655297842]","['north-east', 'south-east', 'south-east']",1,0,0,0.0,6.452800249431517
2021-05-04,20.601,85.94,982.665,3.7,15.7,135.2,1046.4175,0.635,99.1085,99.7825,148.977,100.3945,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,24.3,18.9,32.2,0.0,0.0,345.0,12.2,,1012.9,,0.0,0.0,,0.0,,,0,1,1,0.0,6.954082889744763
2021-02-21,32.796,61.738,999.45,1.8,5.7,232.0,378.354,0.497,1.478,2.6325000000000003,2.754,3.0645,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,11.2,3.9,19.4,0.0,0.0,342.0,10.1,,1031.7,,0.0,0.0,,0.0,,,0,1,1,0.0,5.938469806080674
2021-11-28,43.82,68.625,990.622,8.7,29.8,85.2,1987.2925,1.7225,11.4335,16.540999999999997,17.2145,18.46,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,12.9,6.1,22.2,0.0,0.0,356.0,1.8,,1023.0,,0.0,0.0,,0.0,,,0,1,1,0.0,7.595031509190331
2021-01-27,60.467,45.471,974.754,9.6,29.7,85.5,1979.8545,2.708,12.395499999999998,19.83,21.5,22.9685,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,3.9,0.6,10.0,12.2,0.0,160.0,21.6,,1006.0,,0.0,0.0,,0.0,,,0,1,1,0.0,7.5912835962474725
2021-01-24,39.875,53.599,980.487,9.0,27.8,89.9,1854.516,2.7645,11.129,17.8005,20.5405,21.2755,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,5.6,-1.6,7.8,4.1,0.0,17.0,2.2,,1010.5,,0.0,0.0,,0.0,,,0,1,1,0.0,7.5259181034761395
2021-10-16,18.732,74.579,985.548,2.0,6.4,220.6,426.5525,0.971,1.3895,2.5940000000000003,3.056,3.2605,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,15.6,5.0,28.3,0.0,0.0,15.0,3.2,,1015.3,,4.0,4.75,"[5, 5, 5, 4]",106.80242487273682,"[124.39201655297842, 73.12314322601142, 98.8423306610904, 130.85220905086703]","['south-east', 'north-west', 'north-west', 'north-west']",1,0,0,0.0,6.058077087854194
2021-11-02,56.534,69.124,989.55,6.1,17.7,124.9,1179.4195,1.418,6.2245,10.345,10.5495,11.648,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,15.8,11.7,20.6,0.0,0.0,343.0,5.8,,1022.3,,1.0,4.0,[4],130.85220905086703,[130.85220905086703],['north-west'],1,0,0,0.0,7.073625162756122
